Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
DAPE_ECO45	DAPE_ECO45	375	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.2e-43	1.2e-40	144.490524291992	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOUT	DAPE_ECOUT	375	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.2e-43	1.2e-40	144.490524291992	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOL6	DAPE_ECOL6	375	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.2e-43	1.2e-40	144.490524291992	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOK1	DAPE_ECOK1	375	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.2e-43	1.2e-40	144.490524291992	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANC5	DAPE_XANC5	376	P06621_refseq_selected_blast_msa	-	368	1.0e-40	144.7	0.0	1	1	2.2e-43	1.2e-40	144.463516235352	0.05	7	368	10	373	4	373	0.86	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANCP	DAPE_XANCP	376	P06621_refseq_selected_blast_msa	-	368	1.1e-40	144.6	0.1	1	1	2.2e-43	1.2e-40	144.438674926758	0.07	8	368	12	374	5	374	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANC8	DAPE_XANC8	376	P06621_refseq_selected_blast_msa	-	368	1.1e-40	144.6	0.1	1	1	2.2e-43	1.2e-40	144.438674926758	0.07	8	368	12	374	5	374	0.85	Succinyl-diaminopimelate desuccinylase		0
DAPE_AZOSB	DAPE_AZOSB	380	P06621_refseq_selected_blast_msa	-	368	1.1e-40	144.6	0.0	1	1	2.4e-43	1.3e-40	144.363250732422	0.03	12	365	19	374	8	377	0.82	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORPD	DAPE_BORPD	380	P06621_refseq_selected_blast_msa	-	368	1.2e-40	144.4	0.0	1	1	2.5e-43	1.4e-40	144.273468017578	0.00	3	365	9	373	7	376	0.81	Succinyl-diaminopimelate desuccinylase		0
DAPE_GLUOX	DAPE_GLUOX	381	P06621_refseq_selected_blast_msa	-	368	1.3e-40	144.3	0.0	1	1	3.4e-43	1.9e-40	143.837997436523	0.04	4	361	13	372	11	377	0.82	Succinyl-diaminopimelate desuccinylase		0
DAPE_PARDP	DAPE_PARDP	382	P06621_refseq_selected_blast_msa	-	368	1.4e-40	144.3	0.2	1	1	3.0e-43	1.6e-40	144.045043945312	0.15	5	366	11	378	8	380	0.85	Succinyl-diaminopimelate desuccinylase		0
ARGE_SALTI	ARGE_SALTI	383	P06621_refseq_selected_blast_msa	-	368	1.5e-40	144.2	0.0	1	1	4.8e-43	2.6e-40	143.345581054688	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
DAPE_ECOLU	DAPE_ECOLU	375	P06621_refseq_selected_blast_msa	-	368	1.7e-40	144.0	0.0	1	1	3.4e-43	1.9e-40	143.824401855469	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_BURA4	DAPE_BURA4	379	P06621_refseq_selected_blast_msa	-	368	1.8e-40	143.9	0.1	1	1	3.7e-43	2.0e-40	143.729415893555	0.10	2	365	5	374	4	377	0.84	Succinyl-diaminopimelate desuccinylase		0
DAPE_METPB	DAPE_METPB	387	P06621_refseq_selected_blast_msa	-	368	1.8e-40	143.9	0.0	1	1	4.1e-43	2.2e-40	143.564544677734	0.03	5	366	10	382	7	384	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE1_ALTMD	DAPE1_ALTMD	390	P06621_refseq_selected_blast_msa	-	368	1.9e-40	143.8	0.0	1	1	4.0e-43	2.2e-40	143.620346069336	0.00	18	355	31	375	15	388	0.83	Succinyl-diaminopimelate desuccinylase 1		0
ARGE_SALHS	ARGE_SALHS	383	P06621_refseq_selected_blast_msa	-	368	2.0e-40	143.7	0.0	1	1	6.7e-43	3.6e-40	142.883819580078	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALNS	ARGE_SALNS	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALSV	ARGE_SALSV	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALG2	ARGE_SALG2	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALPB	ARGE_SALPB	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALCH	ARGE_SALCH	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALDC	ARGE_SALDC	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALEP	ARGE_SALEP	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
ARGE_SALA4	ARGE_SALA4	383	P06621_refseq_selected_blast_msa	-	368	2.3e-40	143.5	0.0	1	1	7.5e-43	4.1e-40	142.707229614258	0.00	6	366	13	378	8	380	0.82	Acetylornithine deacetylase		0
DAPE_ECO5E	DAPE_ECO5E	375	P06621_refseq_selected_blast_msa	-	368	2.5e-40	143.4	0.0	1	1	5.2e-43	2.8e-40	143.225936889648	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECO57	DAPE_ECO57	375	P06621_refseq_selected_blast_msa	-	368	2.5e-40	143.4	0.0	1	1	5.2e-43	2.8e-40	143.225936889648	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_SHIB3	DAPE_SHIB3	375	P06621_refseq_selected_blast_msa	-	368	2.6e-40	143.3	0.0	1	1	5.5e-43	3.0e-40	143.164352416992	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_METEP	DAPE_METEP	385	P06621_refseq_selected_blast_msa	-	368	2.7e-40	143.3	0.0	1	1	6.7e-43	3.7e-40	142.865844726562	0.03	4	364	9	380	7	383	0.83	Succinyl-diaminopimelate desuccinylase		0
DAPE_THISH	DAPE_THISH	376	P06621_refseq_selected_blast_msa	-	368	2.8e-40	143.3	0.0	1	1	5.8e-43	3.1e-40	143.083526611328	0.05	2	367	5	372	4	373	0.84	Succinyl-diaminopimelate desuccinylase		0
DAPE_THIDA	DAPE_THIDA	392	P06621_refseq_selected_blast_msa	-	368	2.8e-40	143.3	0.0	1	1	5.8e-43	3.1e-40	143.084808349609	0.01	7	366	21	382	15	384	0.84	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOHS	DAPE_ECOHS	375	P06621_refseq_selected_blast_msa	-	368	3.2e-40	143.1	0.0	1	1	6.7e-43	3.7e-40	142.871780395508	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_SHIBS	DAPE_SHIBS	375	P06621_refseq_selected_blast_msa	-	368	3.2e-40	143.1	0.0	1	1	6.7e-43	3.7e-40	142.871780395508	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOLC	DAPE_ECOLC	375	P06621_refseq_selected_blast_msa	-	368	3.2e-40	143.1	0.0	1	1	6.7e-43	3.7e-40	142.871780395508	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
DAPE_ECOBW	DAPE_ECOBW	375	P06621_refseq_selected_blast_msa	-	368	3.2e-40	143.1	0.0	1	1	6.7e-43	3.7e-40	142.871780395508	0.02	2	366	6	371	5	373	0.80	Succinyl-diaminopimelate desuccinylase		0
